国家,中国
指标名称,中国:现货价(平均价):玉米
频率,日
单位,元/吨
指标ID,S5005793
时间区间,2009-01-04:2024-04-15
来源,汇易网
更新时间,'2024-04-15
2010-12-10,2111.0
2010-12-13,2110.0
2010-12-14,2111.0
2010-12-15,2112.0
2010-12-16,2112.0
2010-12-17,2113.0
2010-12-20,2114.0
2010-12-21,2115.0
2010-12-22,2115.0
2010-12-23,2115.0
2010-12-24,2115.0
2010-12-27,2115.0
2010-12-28,2115.0
2010-12-29,2115.0
2010-12-30,2117.0
2010-12-31,2116.0
2011-01-04,2116.0
2011-01-05,2116.0
2011-01-06,2116.0
2011-01-07,2116.0
2011-01-10,2115.0
2011-01-11,2115.0
2011-01-12,2118.0
2011-01-13,2118.0
2011-01-14,2119.0
2011-01-17,2119.0
2011-01-18,2118.0
2011-01-19,2115.0
2011-01-20,2115.0
2011-01-21,2118.0
2011-01-24,2119.0
2011-01-25,2118.0
2011-01-26,2119.0
2011-01-27,2119.0
2011-01-28,2121.0
2011-01-30,2120.0
2011-01-31,2120.0
2011-02-01,2120.0
2011-02-09,2122.0
2011-02-10,2124.0
2011-02-11,2125.0
2011-02-12,2128.0
2011-02-14,2132.0
2011-02-15,2132.0
2011-02-16,2134.0
2011-02-17,2134.0
2011-02-18,2144.0
2011-02-21,2151.0
2011-02-22,2157.0
2011-02-23,2162.0
2011-02-24,2165.0
2011-02-25,2164.0
2011-02-28,2167.0
2011-03-01,2168.0
2011-03-02,2170.0
2011-03-03,2172.0
2011-03-04,2172.0
2011-03-07,2180.0
2011-03-08,2182.0
2011-03-09,2184.0
2011-03-10,2186.0
2011-03-11,2189.0
2011-03-14,2194.0
2011-03-15,2194.0
2011-03-16,2193.0
2011-03-17,2195.0
2011-03-18,2198.0
2011-03-21,2200.0
2011-03-22,2198.0
2011-03-23,2199.0
2011-03-24,2200.0
2011-03-25,2201.0
2011-03-28,2205.0
2011-03-29,2206.0
2011-03-30,2206.0
2011-03-31,2205.0
2011-04-01,2207.0
2011-04-02,2206.0
2011-04-06,2206.0
2011-04-07,2205.0
2011-04-08,2206.0
2011-04-11,2207.0
2011-04-12,2207.0
2011-04-13,2208.0
2011-04-14,2209.0
2011-04-15,2210.0
2011-04-18,2210.0
2011-04-19,2210.0
2011-04-20,2210.0
2011-04-21,2210.0
2011-04-22,2211.0
2011-04-25,2211.0
2011-04-26,2211.0
2011-04-27,2215.0
2011-04-28,2219.0
2011-04-29,2221.0
2011-05-03,2228.0
2011-05-06,2240.0
2011-05-09,2249.0
2011-05-10,2251.0
2011-05-11,2257.0
2011-05-12,2261.0
2011-05-13,2266.0
2011-05-16,2274.0
2011-05-17,2277.0
2011-05-18,2280.0
2011-05-19,2283.0
2011-05-20,2285.0
2011-05-23,2291.0
2011-05-24,2300.0
2011-05-26,2305.0
2011-05-27,2306.0
2011-05-30,2309.0
2011-05-31,2313.0
2011-06-01,2314.0
2011-06-02,2314.0
2011-06-03,2314.0
2011-06-07,2316.0
2011-06-08,2321.0
2011-06-09,2322.0
2011-06-10,2322.0
2011-06-13,2334.0
2011-06-14,2340.0
2011-06-15,2344.0
2011-06-16,2345.0
2011-06-17,2346.0
2011-06-20,2349.0
2011-06-21,2353.0
2011-06-22,2355.0
2011-06-23,2358.0
2011-06-24,2357.0
2011-06-27,2357.0
2011-06-28,2357.0
2011-06-29,2358.0
2011-06-30,2359.0
2011-07-01,2370.0
2011-07-04,2374.0
2011-07-05,2375.0
2011-07-06,2375.0
2011-07-07,2375.0
2011-07-08,2375.0
2011-07-11,2376.0
2011-07-12,2380.0
2011-07-13,2379.0
2011-07-14,2378.0
2011-07-15,2379.0
2011-07-18,2379.0
2011-07-19,2381.0
2011-07-20,2381.0
2011-07-21,2381.0
2011-07-22,2381.0
2011-07-25,2383.0
2011-07-27,2384.0
2011-07-28,2387.0
2011-07-29,2389.0
2011-08-01,2392.0
2011-08-02,2397.0
2011-08-03,2398.0
2011-08-04,2403.0
2011-08-05,2404.0
2011-08-08,2406.0
2011-08-09,2407.0
2011-08-10,2409.0
2011-08-11,2411.0
2011-08-12,2413.0
2011-08-15,2416.0
2011-08-16,2416.0
2011-08-17,2417.0
2011-08-18,2419.0
2011-08-19,2420.0
2011-08-22,2422.0
2011-08-23,2423.0
2011-08-24,2423.0
2011-08-25,2435.0
2011-08-26,2439.0
2011-08-29,2455.0
2011-08-30,2467.0
2011-08-31,2474.0
2011-09-01,2491.0
